ID,LEAK,KA,LEAK_F,KA_F
0xf34839b310097fcb4cf3a302dda8cc9b57501083,202,,withdraw,
0xf3dce610acbfbcbb4efc12c4c2e3be063128baad,56:150,,getMeOutOfHere:withdraw:withdrawOld,
0xf55a32f0107523c14027c4a1e6177cd7291395a0,259,,withdraw,
0xfc79774fb9dedeea2325d0d5570554eddc4e6747,218,,withdraw,
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_1,102:111,102,destoryContract:transferEtherToOwner,destoryContract
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_2,102,102,destoryContract,destoryContract
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,102:111,102,destoryContract:transferEtherToOwner,destoryContract
0xcd8f866ae90cef4c046101a1bc032cebecfaaa42_1,635:646,646,manualWithdrawEther:destructContract,destructContract
0xcd8f866ae90cef4c046101a1bc032cebecfaaa42_2,,646,,destructContract
0xcd8f866ae90cef4c046101a1bc032cebecfaaa42_3,635:646,646,manualWithdrawEther:destructContract,destructContract
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1,203:206:214:489,203,stop:kill:withdrawFunds,stop
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_2,,203,,stop
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,203:206:214:489,203,stop:kill:withdrawFunds,stop
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1,160,245,withdraw,deprecateContract
0x11eba93a0a852fd34002f5411e1663cf864edb8b_2,,245,,deprecateContract
0x11eba93a0a852fd34002f5411e1663cf864edb8b_3,160,245,withdraw,deprecateContract
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1,64:70,70,withdrawFunds:kill,kill
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_2,64:70,70,withdrawFunds:kill,kill
0x34BC9A332350A41374aa650f1152C8D88e35a878_1,129,123,collectPlayerWinnings,collectOwnerWinnings
0x34BC9A332350A41374aa650f1152C8D88e35a878_2,,123,,collectOwnerWinnings
0xfaf33ee481f6b1f878b68c06181e46a2e9226938_1,,210,,admin
0xfaf33ee481f6b1f878b68c06181e46a2e9226938_2,,210,,admin
0x2120887e9e4889653770b228ee8d13231d0ef045_1,588:605,605,Transfer_anything:kill,kill
0x2120887e9e4889653770b228ee8d13231d0ef045_2,588,605,Transfer_anything,kill
0x2120887e9e4889653770b228ee8d13231d0ef045_3,588:605,605,Transfer_anything:kill,kill
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_1,208:215:225,225,withdrawFunds:withdraw:finish,finish
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_2,,225,,finish
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_3,208:215:225,225,withdrawFunds:withdraw:finish,finish
0x3933e1bd030c3c14407f8eecce81493e066ab5e1_1,183,183,destruct,destruct
0x3933e1bd030c3c14407f8eecce81493e066ab5e1_2,,183,,destruct
0x3933e1bd030c3c14407f8eecce81493e066ab5e1_3,183,183,destruct,destruct
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_1,235:244,244,withdrawEther:close,close
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_2,,244,,close
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_3,235:244,244,withdrawEther:close,close
0x0208a56ea43c3ff6c2611071948794c2674a16b9_1,175:180,180,drain:kill,kill
0x0208a56ea43c3ff6c2611071948794c2674a16b9_2,,180,,kill
0x0208a56ea43c3ff6c2611071948794c2674a16b9_3,175:180,180,drain:kill,kill
0x287fda15f8f002e5df9f536f10bbfc0816960f36_1,161:167,167,@fallback:selfdestructs,selfdestructs
0x287fda15f8f002e5df9f536f10bbfc0816960f36_2,,167,,selfdestructs
0x287fda15f8f002e5df9f536f10bbfc0816960f36_3,161:167,167,@fallback:selfdestructs,selfdestructs
0xa78a974b487357ad5c17a072dfee4d31b839b331_1,99:154:166,210,sendAll:smallCheckOut:bigCheckOut,kill
0xa78a974b487357ad5c17a072dfee4d31b839b331_2,99:154:166,210,sendAll:smallCheckOut:bigCheckOut,kill
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_1,188:444,188,kill:withdrawFunds,kill
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_2,188:444,188,kill:withdrawFunds,kill
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_3,188:444,188,kill:withdrawFunds,kill
0x95195adFb67f28AcFC07CE09eb496188527C0303_2,,517,,kill
0x95195adFb67f28AcFC07CE09eb496188527C0303_3,517,517,kill,kill
0xfc1078a7bb4521881663df4148434acd991af14c_1,371,371,destroy,destroy
0xfc1078a7bb4521881663df4148434acd991af14c_2,371,371,destroy,destroy
0xfc1078a7bb4521881663df4148434acd991af14c_3,371,371,destroy,destroy
0xdcd03c274982b15341b570f39e0f72e730d11f32_1,294:312,,@fallback:finalizeIco,
0xdcd03c274982b15341b570f39e0f72e730d11f32_3,294:312,,@fallback:finalizeIco,
0xf7a3c5e0310ed2bafde8e782f43ab38c1cfa279d_1,398,,manualWithdrawEther,
0xf7a3c5e0310ed2bafde8e782f43ab38c1cfa279d_3,398,,manualWithdrawEther,
0x3f30a9ac5f4d9cccfe0331948f5a8f5df1ba3856_1,251,,sell,
0x3f30a9ac5f4d9cccfe0331948f5a8f5df1ba3856_3,251,,sell,
0x528732d7ff76a31bd419f1d57d549d7643c02db2_1,589,,payTokens,
0x528732d7ff76a31bd419f1d57d549d7643c02db2_3,589,,payTokens,
